_id,description,nom,prix
627bc3dfb5d12660d8b42883,"Pour un conseil ou une évaluation, nos dentistes se feront toujours un plaisir de répondre à vos questions. Prenez rendez-vous dès maintenant!",Consulation,20
627bc466b5d12660d8b42884,"Pour la santé de votre bouche, il est important de procéder au moins une fois par an à un nettoyage. Lors de ce rendez-vous, l’hygiéniste dentaire fera un dépistage buccodentaire, puis procédera au détartrage et au polissage de vos dents.",Nettoyage,40
627bc4aeb5d12660d8b42885,"L'examen de contrôle comprend un nettoyage, une radiographie ainsi qu'un contrôle dentaire et buccal avec votre dentiste.",Examen de contrôle,85
627bc554bf2e5c42cc366fed,"La réparation ou le remplacement d'une couronne est primordiale afin d'éviter de causer d'autres problèmes. La couronne dentaire remplace ou répare une seule dent en posant une couronne de substitution (partie visible de la dent située au-dessus de la gencive) en s’appuyant sur la racine existante. Si vous n'êtes pas sûr de votre choix, prenez d'abord rendez-vous pour une consultation.",La pose de couronne,525
627bc58cbf2e5c42cc366fee,"Une carie sévère, un grincement des dents, un accident ou une maladie vous conduisent à l’extraction d’une ou plusieurs dents? Chez Ever After Care, nos dentistes sont habitués à traiter les cas les plus simples et les plus complexes.",Extraction de dent,175
627bc5c7bf2e5c42cc366fef,"En obstruant vos cavités dentaires causées par des carries, vous évitez ainsi la détérioration de votre dent et empêchez les bactéries d’y pénétrer.",Plombages,92
627bc5eebf2e5c42cc366ff0,"Si vos dents sont tachées ou trop colorées, choississez l'un de nos types de nos blanchiments. Ils se différencient de par leur composition, leur concentration et leur technique d’application. Un dentiste peut vous conseiller dans votre choix. Veuillez noter que le prix comprend le prix d'un nettoyage qui est nécessaire avant l'application du produit.",Blanchiment dentaire,500
627bc61cbf2e5c42cc366ff1,Les facettes représentent une excellente solution pour corriger plusieurs défauts esthétiques mineurs de la dentition. Ce sont de fines pellicules de céramique ou de porcelaine qui s’installent directement sur la façade des dents pour en améliorer l’apparence.,Facette dentaire,500
627bc63bbf2e5c42cc366ff2,"Si vous ressentez une douleur subite dans vos dents, il est possible qu'un tissu vivant composé de nerfs, d’artères, de veines et de cellules (pulpe) soit affecté par des bactéries, un choc ou une usure prématurée. Les nerfs sont sollicités anormalement et provoquent une douleur aiguë. Le traitement peut canal peut régler ce type de problème.",Traitement de canal,720
627bc664bf2e5c42cc366ff3,Vous souffrez d’hypersensibilité dentaire? Vos dents se déchaussent? La greffe de gencive peut être la solution à vos problèmes. Notre parodontiste se fera un plaisir de vous conseiller.,Greffe de gencive,600
627bc68fbf2e5c42cc366ff4,"Grâce à une radiologie 3D de votre bouche, le dentiste peut mieux planifier votre traitement qui sera, par conséquent, plus précis et mieux  adapté afin de réduire votre inconfort!",Radiologie dentaire 3D,250
